;titles;years;category
41;Spa-gan: Spatial attention gan for image-to-image translation; 2020 ;Image-to-Image Translation
42;Semi-supervised learning for few-shot image-to-image translation; 2020 ;Image-to-Image Translation
43;Generative adversarial networks for image-to-image translation on multi-contrast mr images-a comparison of cyclegan and unit; 2018 ;Image-to-Image Translation
44;Tuigan: Learning versatile image-to-image translation with two unpaired images; 2020 ;Image-to-Image Translation
45;Quality-aware unpaired image-to-image translation; 2019 ;Image-to-Image Translation
46;Exemplar guided unsupervised image-to-image translation with semantic consistency; 2018 ;Image-to-Image Translation
47;Harmonic unpaired image-to-image translation; 2019 ;Image-to-Image Translation
48;Memory-guided unsupervised image-to-image translation; 2021 ;Image-to-Image Translation
49;Asymmetric GAN for unpaired image-to-image translation; 2019 ;Image-to-Image Translation
50;Attention-guided generative adversarial networks for unsupervised image-to-image translation; 2019 ;Image-to-Image Translation
51;Unsupervised image-to-image translation with stacked cycle-consistent adversarial networks; 2018 ;Image-to-Image Translation
52;Attentiongan: Unpaired image-to-image translation using attention-guided generative adversarial networks; 2021 ;Image-to-Image Translation
53;Sem-GAN: semantically-consistent image-to-image translation; 2019 ;Image-to-Image Translation
54;Smoothing the disentangled latent style space for unsupervised image-to-image translation; 2021 ;Image-to-Image Translation
55;Learning fixed points in generative adversarial networks: From image-to-image translation to disease detection and localization; 2019 ;Image-to-Image Translation
56;Robotic instrument segmentation with image-to-image translation; 2021 ;Image-to-Image Translation
57;Transfer learning for related reinforcement learning tasks via image-to-image translation; 2019 ;Image-to-Image Translation
58;FairfaceGAN: Fairness-aware facial image-to-image translation; 2020 ;Image-to-Image Translation
59;Unpaired image-to-image translation using adversarial consistency loss; 2020 ;Image-to-Image Translation
60;U-gat-it: Unsupervised generative attentional networks with adaptive layer-instance normalization for image-to-image translation; 2019 ;Image-to-Image Translation
61;Art2real: Unfolding the reality of artworks via semantically-aware image-to-image translation; 2019 ;Image-to-Image Translation
62;Unified generative adversarial networks for controllable image-to-image translation; 2020 ;Image-to-Image Translation
63;Domain bridge for unpaired image-to-image translation and unsupervised domain adaptation; 2020 ;Image-to-Image Translation
64;Ganhopper: Multi-hop gan for unsupervised image-to-image translation; 2020 ;Image-to-Image Translation
65;Image-to-image translation via group-wise deep whitening-and-coloring transformation; 2019 ;Image-to-Image Translation
66;Generating large labeled data sets for laparoscopic image processing tasks using unpaired image-to-image translation; 2019 ;Image-to-Image Translation
67;Cross-domain car detection using unsupervised image-to-image translation: From day to night; 2019 ;Image-to-Image Translation
68;Describe what to change: A text-guided unsupervised image-to-image translation approach; 2020 ;Image-to-Image Translation
69;Homomorphic latent space interpolation for unpaired image-to-image translation; 2019 ;Image-to-Image Translation
70;Discriminative region proposal adversarial networks for high-quality image-to-image translation; 2018 ;Image-to-Image Translation
71;Dual generator generative adversarial networks for multi-domain image-to-image translation; 2018 ;Image-to-Image Translation
72;Reversible gans for memory-efficient image-to-image translation; 2019 ;Image-to-Image Translation
73;A novel framework for image-to-image translation and image compression; 2022 ;Image-to-Image Translation
74;Unsupervised image-to-image translation using domain-specific variational information bound; 2018 ;Image-to-Image Translation
75;In2i: Unsupervised multi-image-to-image translation using generative adversarial networks; 2018 ;Image-to-Image Translation
76;Transformation consistency regularization–a semi-supervised paradigm for image-to-image translation; 2020 ;Image-to-Image Translation
77;Consistent embedded GAN for image-to-image translation; 2019 ;Image-to-Image Translation
78;Image-to-image translation using generative adversarial network; 2019 ;Image-to-Image Translation
79;Unsupervised image-to-image translation via pre-trained stylegan2 network; 2021 ;Image-to-Image Translation
80;Segmentation guided image-to-image translation with adversarial networks; 2019 ;Image-to-Image Translation
81;Multi-channel attention selection gans for guided image-to-image translation; 2020 ;Image-to-Image Translation
82;Latent filter scaling for multimodal unsupervised image-to-image translation; 2019 ;Image-to-Image Translation
83;Adversarial inverse graphics networks: Learning 2d-to-3d lifting and image-to-image translation from unpaired supervision; 2017 ;Image-to-Image Translation
84;Probabilistic plant modeling via multi-view image-to-image translation; 2018 ;Image-to-Image Translation
85;Underwater image dehazing via unpaired image-to-image translation; 2020 ;Image-to-Image Translation
86;Image-to-image translation using a cross-domain auto-encoder and decoder; 2019 ;Image-to-Image Translation
87;Singlegan: Image-to-image translation by a single-generator network using multiple generative adversarial learning; 2018 ;Image-to-Image Translation
88;One-to-one Mapping for Unpaired Image-to-image Translation; 2020 ;Image-to-Image Translation
89;Crossing-domain generative adversarial networks for unsupervised multi-domain image-to-image translation; 2018 ;Image-to-Image Translation
90;Exploring explicit domain supervision for latent space disentanglement in unpaired image-to-image translation; 2019 ;Image-to-Image Translation
91;Deceiving image-to-image translation networks for autonomous driving with adversarial perturbations; 2020 ;Image-to-Image Translation
92;Model-based occlusion disentanglement for image-to-image translation; 2020 ;Image-to-Image Translation
93;Semantically adaptive image-to-image translation for domain adaptation of semantic segmentation; 2020 ;Image-to-Image Translation
94;iFlowGAN: An invertible flow-based generative adversarial network for unsupervised image-to-image translation; 2021 ;Image-to-Image Translation
95;Learning image-to-image translation using paired and unpaired training samples; 2018 ;Image-to-Image Translation
96;Zstgan: An adversarial approach for unsupervised zero-shot image-to-image translation; 2021 ;Image-to-Image Translation
97;Night-to-day: Online image-to-image translation for object detection within autonomous driving by night; 2020 ;Image-to-Image Translation
98;SemI2I: Semantically consistent image-to-image translation for domain adaptation of remote sensing data; 2020 ;Image-to-Image Translation
99;Generative Adversarial Network with Multi-branch Discriminator for imbalanced cross-species image-to-image translation; 2021 ;Image-to-Image Translation
100;Lc-gan: Image-to-image translation based on generative adversarial network for endoscopic images; 2020 ;Image-to-Image Translation
101;[HTML] Generative reversible data hiding by image-to-image translation via GANs; 2019 ;Image-to-Image Translation
102;Egsde: Unpaired image-to-image translation via energy-guided stochastic differential equations; 2022 ;Image-to-Image Translation
103;Multi-mapping image-to-image translation with central biasing normalization; 2018 ;Image-to-Image Translation
104;Image-to-image translation for enhanced feature matching, image retrieval and visual localization; 2019 ;Image-to-Image Translation
105;Incremental learning of multi-domain image-to-image translations; 2020 ;Image-to-Image Translation
106;Improving surgical training phantoms by hyperrealism: deep unpaired image-to-image translation from real surgeries; 2018 ;Image-to-Image Translation
107;[PDF] Boosting segmentation with weak supervision from image-to-image translation; 2019 ;Image-to-Image Translation
108;Cross domain adaptation for on-road object detection using multimodal structure-consistent image-to-image translation; 2019 ;Image-to-Image Translation
109;Xogan: One-to-many unsupervised image-to-image translation; 2018 ;Image-to-Image Translation
110;Gmm-unit: Unsupervised multi-domain and multi-modal image-to-image translation via attribute gaussian mixture modeling; 2020 ;Image-to-Image Translation
111;Desmoking laparoscopy surgery images using an image-to-image translation guided by an embedded dark channel; 2020 ;Image-to-Image Translation
112;Flow-based deformation guidance for unpaired multi-contrast mri image-to-image translation; 2020 ;Image-to-Image Translation
113;Controlling biases and diversity in diverse image-to-image translation; 2021 ;Image-to-Image Translation
114;Image-to-image translation with GAN for synthetic data augmentation in plant disease datasets; 2019 ;Image-to-Image Translation
115;Efficient high-resolution image-to-image translation using multi-scale gradient u-net; 2022 ;Image-to-Image Translation
116;Image-to-Image Translation for Autonomous Driving from Coarsely-Aligned Image Pairs; 2022 ;Image-to-Image Translation
117;Attribute guided unpaired image-to-image translation with semi-supervised learning; 2019 ;Image-to-Image Translation
118;[HTML] Synthesis of COVID-19 chest X-rays using unpaired image-to-image translation; 2021 ;Image-to-Image Translation
119;Unsupervised multi-domain multimodal image-to-image translation with explicit domain-constrained disentanglement; 2020 ;Image-to-Image Translation
120;Informative sample mining network for multi-domain image-to-image translation; 2020 ;Image-to-Image Translation
121;MedGAN: Medical image translation using GANs; 2020 ;Image-to-Image Translation
122;SAR-to-optical image translation using supervised cycle-consistent adversarial networks; 2019 ;Image-to-Image Translation
123;Deep networks for image-to-image translation with mux and demux layers; 2018 ;Image-to-Image Translation
124;A pipeline for hand 2-D keypoint localization using unpaired image to image translation; 2021 ;Image-to-Image Translation
125;Projection image-to-image translation in hybrid X-ray/MR imaging; 2019 ;Image-to-Image Translation
126;Perceptual-DualGAN: perceptual losses for image to image translation with generative adversarial nets; 2018 ;Image-to-Image Translation
127;Image to image translation based on convolutional neural network approach for speech declipping; 2019 ;Image-to-Image Translation
128;Seamless nudity censorship: an image-to-image translation approach based on adversarial training; 2018 ;Image-to-Image Translation
129;[CITATION] Semantically Consistent Image-to-Image Translation for Unsupervised Domain Adaptation.; 2022;Image-to-Image Translation
130;Unit-ddpm: Unpaired image translation with denoising diffusion probabilistic models; 2021 ;Image-to-Image Translation
131;Coco-funit: Few-shot unsupervised image translation with a content conditioned style encoder; 2020 ;Image-to-Image Translation
132;Appearance generation for colored spun yarn fabric based on conditional image‐to‐image translation; 2022 ;Image-to-Image Translation
133;Toward learning a unified many-to-many mapping for diverse image translation; 2019 ;Image-to-Image Translation
134;Co-evolutionary compression for unpaired image translation; 2019 ;Image-to-Image Translation
135;SDIT: Scalable and diverse cross-domain image translation; 2019 ;Image-to-Image Translation
136;A unified feature disentangler for multi-domain image translation and manipulation; 2018 ;Image-to-Image Translation
137;Unsupervised medical image translation using cycle-MedGAN; 2019 ;Image-to-Image Translation
138;Spatially-adaptive pixelwise networks for fast image translation; 2021 ;Image-to-Image Translation
139;OA-FSUI2IT: A Novel Few-Shot Cross Domain Object Detection Framework with Object-Aware Few-Shot Unsupervised Image-to-Image Translation; 2022 ;Image-to-Image Translation
140;Distilling portable generative adversarial networks for image translation; 2020 ;Image-to-Image Translation
141;Multimodal image-to-image translation via a single generative adversarial network; 2022 ;Image-to-Image Translation
142;Night-to-day image translation for retrieval-based localization; 2019 ;Image-to-Image Translation
143;Unbalanced feature transport for exemplar-based image translation; 2021 ;Image-to-Image Translation
144;Atrous cgan for sar to optical image translation; 2020 ;Image-to-Image Translation
145;The spatially-correlative loss for various image translation tasks; 2021 ;Image-to-Image Translation
146;High-resolution photorealistic image translation in real-time: A laplacian pyramid translation network; 2021 ;Image-to-Image Translation
147;GANILLA: Generative adversarial networks for image to illustration translation; 2020 ;Image-to-Image Translation
148;ResAttr-GAN: Unpaired deep residual attributes learning for multi-domain face image translation; 2019 ;Image-to-Image Translation
149;Unsupervised multi-domain image translation with domain-specific encoders/decoders; 2018 ;Image-to-Image Translation
150;Simplified unsupervised image translation for semantic segmentation adaptation; 2020 ;Image-to-Image Translation
151;Cocosnet v2: Full-resolution correspondence learning for image translation; 2021 ;Image-to-Image Translation
152;Augmenting colonoscopy using extended and directional cyclegan for lossy image translation; 2020 ;Image-to-Image Translation
153;Unsupervised image translation using adversarial networks for improved plant disease recognition; 2020 ;Image-to-Image Translation
154;Analogical image translation for fog generation; 2021 ;Image-to-Image Translation
155;Quantum image translation; 2015 ;Image-to-Image Translation
156;Feature-guided SAR-to-optical image translation; 2020 ;Image-to-Image Translation
157;Disrupting image-translation-based deepfake algorithms with adversarial attacks; 2020 ;Image-to-Image Translation
158;Asymmetric CycleGan for unpaired NIR-to-RGB face image translation; 2019 ;Image-to-Image Translation
159;[HTML] Sar-to-optical image translation based on conditional generative adversarial networks—Optimization, opportunities and limits; 2019 ;Image-to-Image Translation
160;Towards debiasing climate simulations using image-to-image translation networks; 2021 ;Image-to-Image Translation
161;Cross-domain correspondence learning for exemplar-based image translation; 2020 ;Image-to-Image Translation
162;Unsupervised image translation.; 2003 ;Image-to-Image Translation
163;Towards annotation-efficient segmentation via image-to-image translation; 2022 ;Image-to-Image Translation
164;Distribution matching losses can hallucinate features in medical image translation; 2018 ;Image-to-Image Translation
165;Da-gan: Instance-level image translation by deep attention generative adversarial networks; 2018 ;Image-to-Image Translation
166;Interactive sketch & fill: Multiclass sketch-to-image translation; 2019 ;Image-to-Image Translation
167;Deep learning thermal image translation for night vision perception; 2020 ;Image-to-Image Translation
168;Unpaired Image Translation via Vector Symbolic Architectures; 2022 ;Image-to-Image Translation
169;Deformation-aware unpaired image translation for pose estimation on laboratory animals; 2020 ;Image-to-Image Translation
170;IR2VI: enhanced night environmental perception by unsupervised thermal image translation; 2018 ;Image-to-Image Translation
171;Gan-based virtual-to-real image translation for urban scene semantic segmentation; 2020 ;Image-to-Image Translation
172;Multi-component image translation for deep domain generalization; 2019 ;Image-to-Image Translation
173;Instance-level image translation with a local discriminator; 2021 ;Image-to-Image Translation
174;[HTML] Attention-aware discrimination for MR-to-CT image translation using cycle-consistent generative adversarial networks; 2020 ;Image-to-Image Translation
175;Using out-of-the-box frameworks for contrastive unpaired image translation for vestibular schwannoma and cochlea segmentation: An approach for the crossmoda …; 2022 ;Image-to-Image Translation
176;Word level font-to-font image translation using convolutional recurrent generative adversarial networks; 2018 ;Image-to-Image Translation
177;Vr facial animation via multiview image translation; 2019 ;Image-to-Image Translation
178;Multi-channel attention selection gan with cascaded semantic guidance for cross-view image translation; 2019 ;Image-to-Image Translation
179;Thermalgan: Multimodal color-to-thermal image translation for person re-identification in multispectral dataset; 2018 ;Image-to-Image Translation
180;Bi-level feature alignment for versatile image translation and manipulation; 2022 ;Image-to-Image Translation
181;Direct speech-to-image translation; 2020 ;Image-to-Image Translation
182;[LIVRE] Generative adversarial networks with python: deep learning generative models for image synthesis and image translation;J Brownlee ;Image-to-Image Translation
183;A SAR-to-optical image translation method based on conditional generation adversarial network (cGAN); 2020 ;Image-to-Image Translation
184;A unified conditional disentanglement framework for multimodal brain mr image translation; 2021 ;Image-to-Image Translation
185;Generative image translation for data augmentation of bone lesion pathology; 2019 ;Image-to-Image Translation
186;[HTML] Generative image translation for data augmentation in colorectal histopathology images; 2019 ;Image-to-Image Translation
187;Combogan: Unrestrained scalability for image domain translation; 2018 ;Image-to-Image Translation
188;Image generation and translation with disentangled representations; 2018 ;Image-to-Image Translation
189;Unsupervised video-to-video translation; 2018 ;Image-to-Image Translation
190;Which way round? A study on the performance of stain-translation for segmenting arbitrarily dyed histological images; 2018 ;Image-to-Image Translation
191;Architectural Machine Translation; 2022 ;Image-to-Image Translation
192;Mix and match networks: encoder-decoder alignment for zero-pair image translation; 2018 ;Image-to-Image Translation
193;Show, attend, and translate: Unsupervised image translation with self-regularization and attention; 2019 ;Image-to-Image Translation
194;Closing the loop: Joint rain generation and removal via disentangled image translation; 2021 ;Image-to-Image Translation
195;SAR-to-optical image translation using SSIM and perceptual loss based cycle-consistent GAN; 2020 ;Image-to-Image Translation
196;High-resolution daytime translation without domain labels; 2020 ;Image-to-Image Translation
197;Disrupting deepfakes: Adversarial attacks against conditional image translation networks and facial manipulation systems; 2020 ;Image-to-Image Translation
198;Source free domain adaptation with image translation; 2020 ;Image-to-Image Translation
199;Autonomous driving in reality with reinforcement learning and image translation; 2018 ;Image-to-Image Translation
200;[HTML] Data augmentation using image translation for underwater sonar image segmentation; 2022 ;Image-to-Image Translation
201;Image translation for single-shot focal tomography; 2015 ;Image-to-Image Translation
202;[CITATION] Mri image-to-image translation for cross-modality image registration and segmentation; 2018;Image-to-Image Translation
203;Thermal to visible facial image translation using generative adversarial networks; 2018 ;Image-to-Image Translation
204;Gan-based unpaired chinese character image translation via skeleton transformation and stroke rendering; 2020 ;Image-to-Image Translation
205;Improving the quality of synthetic FLAIR images with deep learning using a conditional generative adversarial network for pixel-by-pixel image translation; 2019 ;Image-to-Image Translation
206;Validating uncertainty in medical image translation; 2020 ;Image-to-Image Translation
207;Unsupervised Medical Image Translation with Adversarial Diffusion Models; 2022 ;Image-to-Image Translation
208;Superresolution digital image enhancement by subpixel image translation with a scanning micromirror; 2007 ;Image-to-Image Translation
209;[CITATION] Unpaired image-to-image translation using cycle-consistent adversarial networks; 2017;Image-to-Image Translation
210;Image translation between SAR and optical imagery with generative adversarial nets; 2018 ;Image-to-Image Translation
211;[PDF] Multimodal Image Translation with Stochastic Style Representations and Mutual Information Loss.; 2020 ;Image-to-Image Translation
212;Deep image translation with an affinity-based change prior for unsupervised multimodal change detection; 2021 ;Image-to-Image Translation
213;[HTML] GAN meets chemometrics: Segmenting spectral images with pixel2pixel image translation with conditional generative adversarial networks; 2021 ;Image-to-Image Translation
214;Alignment of cryo-EM movies of individual particles by optimization of image translations; 2015 ;Image-to-Image Translation
215;GAN-Based SAR-to-Optical Image Translation with Region Information; 2020 ;Image-to-Image Translation
216;Unpaired photo-to-caricature translation on faces in the wild; 2019 ;Image-to-Image Translation
217;Mocycle-gan: Unpaired video-to-video translation; 2019 ;Image-to-Image Translation
218;A crowdsourcing based mobile image translation and knowledge sharing service; 2010 ;Image-to-Image Translation
219;Specular-to-diffuse translation for multi-view reconstruction; 2018 ;Image-to-Image Translation
220;Dialectical GAN for SAR image translation: From Sentinel-1 to TerraSAR-X; 2018 ;Image-to-Image Translation
221;Adversarial pulmonary pathology translation for pairwise chest X-ray data augmentation; 2019 ;Image-to-Image Translation
222;Multi-density sketch-to-image translation network; 2021 ;Image-to-Image Translation
223;[PDF] ESTHER: Extremely Simple Image Translation Through Self-Regularization.; 2018 ;Image-to-Image Translation
224;Noise as domain shift: Denoising medical images by unpaired image translation; 2019 ;Image-to-Image Translation
225;Controllable image-to-video translation: A case study on facial expression generation; 2019 ;Image-to-Image Translation
226;[CITATION] Singh M Yang MH Ferrari V Hebert M Sminchisescu C Weiss Y Diverse image-to-image translation via disentangled representations; 2018;Image-to-Image Translation
227;Segment Unannotated MR Image Dataset using Joint Image Translation and Segmentation Adversarial Network;F Liu ;Image-to-Image Translation
228;[CITATION] Image-to-image translation with conditional adversarial networks. arXiv preprint (2017); 2017;Image-to-Image Translation
229;[CITATION] Image-to-image translation with conditional adversarial networks (2016); 2017 ;Image-to-Image Translation
230;Development of a GAN architecture based on integrating global and local information for paired and unpaired medical image translation; H Sharma ;Image-to-Image Translation
231;Uctgan: Diverse image inpainting based on unsupervised cross-space translation; 2020 ;Image-to-Image Translation
232;Non-visual to visual translation for cross-domain face recognition; 2020 ;Image-to-Image Translation
233;[PDF] Investigating Conditional CycleGAN for Real-World Photo to Conditional Artistic Image Translation; T Gonsalves ;Image-to-Image Translation
234;[CITATION] Unpaired image-to-image translation using cycle-consistent adversarial networks. CoRR abs/1703.10593 (2017); 2017;Image-to-Image Translation
235;[CITATION] Image-to-image translation with conditional adversarial networks. arXiv e-prints; 2016;Image-to-Image Translation
236;Video-to-video translation with global temporal consistency; 2018 ;Image-to-Image Translation
237;[CITATION] Image-to-image translation with conditional adversarial networks arXiv preprint; 2017;Image-to-Image Translation
238;[CITATION] Unpaired image-to-image translation using cycle-consistent adversarial networks: arXiv preprint; 2017;Image-to-Image Translation
239;T2net: Synthetic-to-realistic translation for solving single-image depth estimation tasks; 2018 ;Image-to-Image Translation
240;Text-to-image-to-text translation using cycle consistent adversarial networks; 2018 ;Image-to-Image Translation
241;Improved digital watermark robustness against translation and/or cropping of an image area; 2000 ;Image-to-Image Translation
242;[CITATION] Unsupervised image-to-image translation networks. arXiv 2017; J Kautz ;Image-to-Image Translation
243;Transverse image translation using an optical freeform single lens; 2015 ;Image-to-Image Translation
244;[CITATION] Image-to-image translation in tensorflow;C Hesse ;Image-to-Image Translation
245;Guidance for horizontal image translation (HIT) of high definition stereoscopic video production; 2011 ;Image-to-Image Translation
246;[CITATION] Unpaired image-to-image translation using cycle-consistent adversarial networks Jun-Yan; 2017;Image-to-Image Translation
247;[CITATION] Taesung Park. Phillip Isola. Alexei A Efros. Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks; 2017;Image-to-Image Translation
248;Towards realistic laparoscopic image generation using image-domain translation; 2021 ;Image-to-Image Translation
249;Semantic translation of face image with limited pixels for simulated prosthetic vision; 2022 ;Image-to-Image Translation
250;Enchanting your noodles: GAN-based real-time food-to-food translation and its impact on vision-induced gustatory manipulation; 2019 ;Image-to-Image Translation
251;[CITATION] Unpaired image-to-image translation using cycle-consistent adversarial networks. 2242–2251; A Efros ;Image-to-Image Translation
252;[CITATION] Image-to-image translation with conditional adversarial networks: Presented at the IEEE Conference on Computer Vision and Pattern Recognition; AA Efros ;Image-to-Image Translation
253;Network-to-network translation with conditional invertible neural networks; 2020 ;Image-to-Image Translation
254;Stereogan: Bridging synthetic-to-real domain gap by joint optimization of domain translation and stereo matching; 2020 ;Image-to-Image Translation
255;[PDF] Cartoon-to-Photo Facial Translation with Generative Adversarial Networks.; 2018 ;Image-to-Image Translation
256;[PDF] Adaptive Image Translation for Painterly Rendering.; 2005 ;Image-to-Image Translation
257;[CITATION] Is image-to-image translation the panacea for multimodal image registration; 2021;Image-to-Image Translation
258;[HTML] Improving unsupervised stain-to-stain translation using self-supervision and meta-learning; 2022 ;Image-to-Image Translation
259;Pet image denoising using unsupervised domain translation; 2021 ;Image-to-Image Translation
260;[CITATION] Image-to-image translation with conditional adversarial networks. arXiv 2018; AA Efros ;Image-to-Image Translation
261;[CITATION] Image-to-image translation with conditional adversarial networks. CoRRabs/1611.07004 (2016); AA Efros;Image-to-Image Translation
262;Structural analogy from a single image pair; 2021 ;Image-to-Image Translation
263;[CITATION] Unpaired image-to-image translation using cycle-consistent adversarial networks 2017 IEEE International Conference on Computer Vision (ICCV)(Venice …; NJ: IEEE;Image-to-Image Translation
264;Diagonal attention and style-based gan for content-style disentanglement in image generation and translation; 2021 ;Image-to-Image Translation
265;"[CITATION] Park. T.; Isola, P.; Efros, A. Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks. arXiv 2020";J Zhu ;Image-to-Image Translation
266;[CITATION] Unpaired image-to-image translation using cycle-consistent adversarial networks. Int Conf Comput vis; AA Efros ;Image-to-Image Translation
267;"[CITATION] Image-to-image translation with conditional adversarial networks. arXiv e-prints; 2016. pp"; AA Efros ;Image-to-Image Translation
268;[CITATION] mar 2017. Unpaired Image-to-Image Translation using Cycle-Consistent Adversarial Networks; AA Efros ;Image-to-Image Translation
269;[CITATION] Unsupervised image-to-image translation networks [C/OL]; et al. Advances in …;Image-to-Image Translation
270;Image translation from optical image with embedded crystallographic orientation information to photoluminescence image by conditional GAN--a study of selection of …; 2021 ;Image-to-Image Translation
271;Analysis of false data detection rate in generative adversarial networks using recurrent neural network; 2021 ;Image-to-Image Translation
272;Gesturegan for hand gesture-to-gesture translation in the wild; 2018 ;Image-to-Image Translation
273;A Dual-Generator Translation Network Fusing Texture and Structure Features for SAR and Optical Image Matching; 2022 ;Image-to-Image Translation
274;Neural human video rendering by learning dynamic textures and rendering-to-video translation; 2020 ;Image-to-Image Translation
275;Triple-translation GAN with multi-layer sparse representation for face image synthesis; 2019 ;Image-to-Image Translation
276;DeepTaste: Augmented reality gustatory manipulation with GAN-based real-time food-to-food translation; 2019 ;Image-to-Image Translation
277;Image-to-images translation for multi-task organ segmentation and bone suppression in chest x-ray radiography; 2020 ;Image-to-Image Translation
278;Global and local translation designs of quantum image based on FRQI; 2017 ;Image-to-Image Translation
279;Facial image-to-video translation by a hidden affine transformation; 2019 ;Image-to-Image Translation
280;Deep cg2real: Synthetic-to-real translation via image disentanglement; 2019 ;Image-to-Image Translation
281;All about structure: Adapting structural information across domains for boosting semantic segmentation; 2019 ;Image-to-Image Translation
282;[CITATION] Efros Alexei A; 2017;Image-to-Image Translation
283;Avid: Learning multi-stage tasks via pixel-level translation of human videos; 2019 ;Image-to-Image Translation
284;Gesture-to-gesture translation in the wild via category-independent conditional maps; 2019 ;Image-to-Image Translation
285;[PDF] Image to text translation: A review; A Kouzani ;Image-to-Image Translation
286;[CITATION] Alexei A, Efros; 2017;Image-to-Image Translation
287;SHIFT: speedy histopathological-to-immunofluorescent translation of whole slide images using conditional generative adversarial networks; 2018 ;Image-to-Image Translation
288;Sonar-to-satellite translation using deep learning; 2018 ;Image-to-Image Translation
289;High-resolution image synthesis and semantic manipulation with conditional gans; 2018 ;Image-to-Image Translation
290;Cloud removal in optical remote sensing imagery based on direct translation from SAR to optical image using deep learning;H Zhou ;Image-to-Image Translation
291;[CITATION] Research, BA (2017); AA Efros ;Image-to-Image Translation
292;[CITATION] PI, and AA Efros.“; 2017;Image-to-Image Translation
293;Symmetric phase-only matched filtering of Fourier-Mellin transforms for image registration and recognition; 1994 ;Image-to-Image Translation
294;[CITATION] Web image search by automatic image annotation and translation; 2010 ;Image-to-Image Translation
295;Reciprocal translation between SAR and optical remote sensing images with cascaded-residual adversarial networks; 2021 ;Image-to-Image Translation
296;Translation and scale invariants of Tchebichef moments; 2007 ;Image-to-Image Translation
297;Memory-efficient GAN-based domain translation of high resolution 3D medical images; 2020 ;Image-to-Image Translation
298;Computation of component image velocity from local phase information; 1990 ;Image-to-Image Translation
